epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,976.481,1.57711,0.80857,0.94822,0.60519,0.98214,0.96183,0.5852,1.53896,0.94909,1.07889,0.000544625,0.000544625,0.000544625
59,992.597,1.46182,0.74355,1.00071,0.60519,0.98214,0.96183,0.5852,1.53896,0.94909,1.07889,0.00053225,0.00053225,0.00053225
60,1008.17,1.45536,0.79984,1.07343,0.54476,0.97852,0.96299,0.60002,1.56264,0.87831,1.081,0.000519875,0.000519875,0.000519875
61,1023.74,1.43809,0.7458,0.99601,0.54476,0.97852,0.96299,0.60002,1.56264,0.87831,1.081,0.0005075,0.0005075,0.0005075
62,1039.86,1.4118,0.80364,0.98352,0.68968,0.98214,0.94347,0.61092,1.56528,0.94526,1.0751,0.000495125,0.000495125,0.000495125
63,1056.17,1.72209,0.79669,1.09614,0.68968,0.98214,0.94347,0.61092,1.56528,0.94526,1.0751,0.00048275,0.00048275,0.00048275
64,1072.08,1.45694,1.91133,1.16662,0.87699,0.87445,0.97883,0.57592,1.56467,0.94993,1.07567,0.000470375,0.000470375,0.000470375
65,1087.78,1.40259,0.85903,1.01691,0.87699,0.87445,0.97883,0.57592,1.56467,0.94993,1.07567,0.000458,0.000458,0.000458
66,1103.51,1.64823,0.81787,1.11047,0.84744,0.86444,0.968,0.62497,1.53439,0.9327,1.06974,0.000445625,0.000445625,0.000445625
67,1119.52,1.31471,0.82079,1.01562,0.84744,0.86444,0.968,0.62497,1.53439,0.9327,1.06974,0.00043325,0.00043325,0.00043325
68,1135.35,1.42109,0.75853,1.05264,0.66931,0.75176,0.91023,0.54089,1.5067,0.9692,1.06581,0.000420875,0.000420875,0.000420875
69,1150.68,1.2924,0.73298,1.02353,0.66931,0.75176,0.91023,0.54089,1.5067,0.9692,1.06581,0.0004085,0.0004085,0.0004085
70,1166.13,1.44949,0.8334,1.03643,0.71034,0.88688,0.9419,0.62438,1.48587,0.93281,1.05996,0.000396125,0.000396125,0.000396125
71,1181.42,1.28025,1.55828,1.01679,0.71034,0.88688,0.9419,0.62438,1.48587,0.93281,1.05996,0.00038375,0.00038375,0.00038375
72,1196.92,1.58067,1.10914,1.15103,0.71356,0.91428,0.94839,0.62779,1.52392,0.87431,1.07931,0.000371375,0.000371375,0.000371375
73,1213.29,1.27973,0.74242,1.00586,0.71356,0.91428,0.94839,0.62779,1.52392,0.87431,1.07931,0.000359,0.000359,0.000359
74,1229.5,1.39225,0.78932,0.92908,0.69848,0.96066,0.8453,0.53915,1.54306,0.83896,1.08577,0.000346625,0.000346625,0.000346625
75,1244.92,1.56128,0.78364,1.08455,0.69848,0.96066,0.8453,0.53915,1.54306,0.83896,1.08577,0.00033425,0.00033425,0.00033425
76,1260.41,1.45685,0.80061,1.0237,0.71471,0.96035,0.7804,0.48643,1.52409,0.82003,1.0742,0.000321875,0.000321875,0.000321875
77,1275.91,1.34134,0.75711,0.92957,0.71471,0.96035,0.7804,0.48643,1.52409,0.82003,1.0742,0.0003095,0.0003095,0.0003095
78,1291.79,1.36979,0.87531,0.97997,0.8164,0.96552,0.98396,0.64374,1.46954,0.75637,1.05637,0.000297125,0.000297125,0.000297125
79,1307.36,1.38069,0.72748,1.0685,0.8164,0.96552,0.98396,0.64374,1.46954,0.75637,1.05637,0.00028475,0.00028475,0.00028475
80,1322.88,1.51172,1.49087,0.93864,0.89835,0.97081,0.99398,0.65388,1.42688,0.70824,1.03876,0.000272375,0.000272375,0.000272375
81,1338.84,1.36445,0.74927,0.99445,0.89835,0.97081,0.99398,0.65388,1.42688,0.70824,1.03876,0.00026,0.00026,0.00026
82,1354.37,1.51426,0.7305,1.05899,0.94129,0.97771,0.99129,0.65282,1.42502,0.69768,1.03488,0.000247625,0.000247625,0.000247625
83,1369.5,1.30015,0.71637,0.95363,0.94129,0.97771,0.99129,0.65282,1.42502,0.69768,1.03488,0.00023525,0.00023525,0.00023525
